,date,open,high,low,close,volume,Symbol,Name
0,1998-06-01,5.0717,5.0717,4.8,4.8362,20122000.0,00941,中国移动
1,1998-06-02,4.8362,4.8362,4.6007,4.8181,29843800.0,00941,中国移动
2,1998-06-03,4.8362,4.963,4.7637,4.9268,20776000.0,00941,中国移动
3,1998-06-04,4.963,4.963,4.8181,4.8724,16348000.0,00941,中国移动
4,1998-06-05,4.8905,4.9811,4.8905,4.9268,11164000.0,00941,中国移动
5,1998-06-08,4.9268,4.963,4.8181,4.9086,10114000.0,00941,中国移动
6,1998-06-09,4.9086,4.9268,4.6732,4.7094,10064000.0,00941,中国移动
7,1998-06-10,4.7094,4.7094,4.5283,4.6007,31711300.0,00941,中国移动
8,1998-06-11,4.5283,4.5826,4.4558,4.5283,22018000.0,00941,中国移动
9,1998-06-12,4.4196,4.6188,4.4015,4.5464,28266500.0,00941,中国移动
10,1998-06-15,4.5102,4.5102,4.1479,4.1841,25117000.0,00941,中国移动
11,1998-06-16,4.1298,4.3653,4.0392,4.1298,27491000.0,00941,中国移动
12,1998-06-17,4.2385,4.329,4.2385,4.2928,24858000.0,00941,中国移动
13,1998-06-18,4.4558,4.7637,4.4558,4.7094,43419000.0,00941,中国移动
14,1998-06-19,4.6369,4.8543,4.5826,4.7819,17766000.0,00941,中国移动
15,1998-06-22,4.7819,4.7819,4.5464,4.6007,13855000.0,00941,中国移动
16,1998-06-23,4.6732,4.7456,4.5283,4.7456,19658500.0,00941,中国移动
17,1998-06-24,4.7456,4.7819,4.6369,4.7456,5999000.0,00941,中国移动
18,1998-06-25,4.7456,4.9449,4.7275,4.9268,16309000.0,00941,中国移动
19,1998-06-26,4.8905,4.9992,4.7819,4.9811,13562100.0,00941,中国移动
20,1998-06-29,5.0354,5.0354,4.7094,4.7819,22514000.0,00941,中国移动
21,1998-06-30,4.8543,4.9086,4.7456,4.8724,16482800.0,00941,中国移动
22,1998-07-02,5.0717,5.1079,4.9449,4.963,21334000.0,00941,中国移动
23,1998-07-03,4.963,4.963,4.8,4.8181,13671000.0,00941,中国移动
24,1998-07-06,4.7819,4.8181,4.7275,4.8,7117000.0,00941,中国移动
25,1998-07-07,4.7819,4.8724,4.7819,4.8181,5717000.0,00941,中国移动
26,1998-07-08,4.8543,4.8905,4.7819,4.8,6678000.0,00941,中国移动
27,1998-07-09,4.8362,4.8362,4.6551,4.6732,9870400.0,00941,中国移动
28,1998-07-10,4.6732,4.6732,4.492,4.5464,21066000.0,00941,中国移动
29,1998-07-13,4.5283,4.5283,4.3834,4.4739,11720000.0,00941,中国移动
30,1998-07-14,4.5283,4.5645,4.3834,4.4015,11685000.0,00941,中国移动
31,1998-07-15,4.4558,4.6188,4.4558,4.5826,16482000.0,00941,中国移动
32,1998-07-16,4.5645,4.7275,4.5283,4.6732,11840000.0,00941,中国移动
33,1998-07-17,4.7275,4.7456,4.6188,4.6732,8712000.0,00941,中国移动
34,1998-07-20,4.7094,4.7094,4.6188,4.6369,6645400.0,00941,中国移动
35,1998-07-21,4.6188,4.7094,4.6007,4.6369,9086800.0,00941,中国移动
36,1998-07-22,4.5826,4.6188,4.4377,4.4739,13772800.0,00941,中国移动
37,1998-07-23,4.4196,4.4196,4.2747,4.2928,16835000.0,00941,中国移动
38,1998-07-24,4.2747,4.4015,4.2385,4.3653,17676000.0,00941,中国移动
39,1998-07-27,4.4015,4.4015,4.2203,4.2385,13229000.0,00941,中国移动
40,1998-07-28,4.2747,4.329,4.1298,4.1841,17486000.0,00941,中国移动
41,1998-07-29,4.1298,4.2566,4.0754,4.1298,14389700.0,00941,中国移动
42,1998-07-30,4.1298,4.166,4.0573,4.1117,19483300.0,00941,中国移动
43,1998-07-31,4.1298,4.166,4.0573,4.1117,10772000.0,00941,中国移动
44,1998-08-03,4.0392,4.0392,3.8943,3.9486,15811000.0,00941,中国移动
45,1998-08-04,3.9124,3.9486,3.6588,3.7494,26980000.0,00941,中国移动
46,1998-08-05,3.6951,3.6951,3.5502,3.5683,36433000.0,00941,中国移动
47,1998-08-06,3.5864,3.6951,3.5864,3.6226,25891000.0,00941,中国移动
