,date,open,high,low,close,volume,Symbol,Name
0,2004-06-24,3.16,3.175,3.0998,3.1299,192008300.0,02318,中国平安
1,2004-06-25,3.1299,3.1449,3.0998,3.0998,52813000.0,02318,中国平安
2,2004-06-28,3.0998,3.2051,3.0998,3.1901,88257500.0,02318,中国平安
3,2004-06-29,3.1901,3.2201,3.16,3.1901,48393800.0,02318,中国平安
4,2004-06-30,3.2051,3.2201,3.16,3.1901,27520000.0,02318,中国平安
5,2004-07-02,3.1299,3.175,3.1299,3.1449,16309500.0,02318,中国平安
6,2004-07-05,3.1299,3.16,3.1148,3.1148,12088220.0,02318,中国平安
7,2004-07-06,3.1299,3.1449,3.1148,3.1299,12375100.0,02318,中国平安
8,2004-07-07,3.1148,3.1299,3.0998,3.1299,23623000.0,02318,中国平安
9,2004-07-08,3.1299,3.1449,3.0998,3.1148,87934720.0,02318,中国平安
10,2004-07-09,3.1148,3.1148,3.0998,3.1148,34196240.0,02318,中国平安
11,2004-07-12,3.1148,3.1148,3.0998,3.1148,14212000.0,02318,中国平安
12,2004-07-13,3.0998,3.1148,3.0998,3.0998,11541500.0,02318,中国平安
13,2004-07-14,3.0998,3.1148,2.9342,2.9643,113869500.0,02318,中国平安
14,2004-07-15,2.9342,2.9342,2.844,2.8891,22926000.0,02318,中国平安
15,2004-07-16,2.844,2.9042,2.844,2.859,14149000.0,02318,中国平安
16,2004-07-19,2.8741,3.0245,2.859,2.9944,19650000.0,02318,中国平安
17,2004-07-20,2.9643,2.9944,2.9493,2.9493,2828000.0,02318,中国平安
18,2004-07-21,2.9794,2.9944,2.9493,2.9643,7930500.0,02318,中国平安
19,2004-07-22,2.9493,2.9493,2.9192,2.9342,7884150.0,02318,中国平安
20,2004-07-23,2.9192,2.9493,2.9192,2.9493,4262000.0,02318,中国平安
21,2004-07-26,2.9342,2.9493,2.9042,2.9042,12839000.0,02318,中国平安
22,2004-07-27,2.8891,2.9192,2.8891,2.9042,4004500.0,02318,中国平安
23,2004-07-28,2.9042,2.9192,2.8891,2.8891,1818000.0,02318,中国平安
24,2004-07-29,2.8891,2.9192,2.8891,2.9042,4700500.0,02318,中国平安
25,2004-07-30,2.9192,3.0095,2.9042,2.9944,15318500.0,02318,中国平安
26,2004-08-02,2.9794,3.0095,2.9493,3.0095,9314000.0,02318,中国平安
27,2004-08-03,3.0095,3.0697,2.9794,3.0697,16495000.0,02318,中国平安
28,2004-08-04,3.0396,3.0546,2.9944,3.0396,6472500.0,02318,中国平安
29,2004-08-05,3.0095,3.0396,2.9944,3.0095,4697000.0,02318,中国平安
30,2004-08-06,2.9944,3.0245,2.9794,3.0245,2942000.0,02318,中国平安
31,2004-08-09,2.9944,3.0396,2.9794,3.0095,4565500.0,02318,中国平安
32,2004-08-10,3.0095,3.0245,2.9794,3.0245,1972500.0,02318,中国平安
33,2004-08-11,2.9944,3.0396,2.9944,2.9944,3212500.0,02318,中国平安
34,2004-08-12,2.9944,3.0245,2.9944,3.0245,3247000.0,02318,中国平安
35,2004-08-13,3.0245,3.0546,3.0095,3.0396,2826000.0,02318,中国平安
36,2004-08-16,3.1148,3.1299,3.0245,3.0546,10054500.0,02318,中国平安
37,2004-08-17,3.0546,3.0998,3.0546,3.0847,6684500.0,02318,中国平安
38,2004-08-18,3.0546,3.1148,3.0546,3.0998,3872500.0,02318,中国平安
39,2004-08-19,3.1148,3.16,3.1148,3.16,14454500.0,02318,中国平安
40,2004-08-20,3.1299,3.16,3.1299,3.1299,2181392.0,02318,中国平安
41,2004-08-23,3.1299,3.1449,3.0697,3.0847,6114500.0,02318,中国平安
42,2004-08-24,3.0697,3.0697,2.9944,3.0396,12264500.0,02318,中国平安
43,2004-08-25,3.0245,3.1299,3.0095,3.1299,6213500.0,02318,中国平安
44,2004-08-26,3.1449,3.1901,3.0396,3.0396,16892000.0,02318,中国平安
45,2004-08-27,3.0546,3.0847,3.0245,3.0245,9002500.0,02318,中国平安
46,2004-08-30,3.0245,3.0998,3.0245,3.0546,5447000.0,02318,中国平安
47,2004-08-31,3.0546,3.0847,3.0396,3.0697,3572650.0,02318,中国平安
48,2004-09-01,3.0546,3.0847,3.0396,3.0546,7066500.0,02318,中国平安
49,2004-09-02,3.0546,3.16,3.0396,3.1148,16386100.0,02318,中国平安
50,2004-09-03,3.1148,3.175,3.0847,3.175,21023500.0,02318,中国平安
51,2004-09-06,3.16,3.16,3.1148,3.1449,12121000.0,02318,中国平安
52,2004-09-07,3.1299,3.3255,3.1148,3.2954,66458500.0,02318,中国平安
53,2004-09-08,3.3255,3.3857,3.2803,3.3556,45231000.0,02318,中国平安
54,2004-09-09,3.3255,3.4007,3.3104,3.3104,24424500.0,02318,中国平安
55,2004-09-10,3.2803,3.3255,3.2352,3.2653,22332500.0,02318,中国平安
56,2004-09-13,3.3104,3.3104,3.2352,3.2954,8466500.0,02318,中国平安
57,2004-09-14,3.2803,3.3556,3.2653,3.3405,20252000.0,02318,中国平安
58,2004-09-15,3.3405,3.3556,3.3104,3.3405,5482000.0,02318,中国平安
59,2004-09-16,3.3255,3.476,3.3255,3.4609,31475500.0,02318,中国平安
60,2004-09-17,3.476,3.5361,3.4609,3.5211,46373020.0,02318,中国平安
61,2004-09-20,3.5512,3.5662,3.476,3.5361,23709500.0,02318,中国平安
62,2004-09-21,3.5211,3.5512,3.4609,3.5361,16164500.0,02318,中国平安
63,2004-09-22,3.506,3.5361,3.4158,3.4609,10292500.0,02318,中国平安
64,2004-09-23,3.4158,3.491,3.4007,3.491,16442500.0,02318,中国平安
65,2004-09-24,3.4609,3.476,3.3857,3.4158,12449500.0,02318,中国平安
66,2004-09-27,3.3857,3.4459,3.3556,3.4308,7080500.0,02318,中国平安
67,2004-09-28,3.3706,3.4308,3.3556,3.3706,5930000.0,02318,中国平安
68,2004-09-30,3.4158,3.476,3.4158,3.4459,11329200.0,02318,中国平安
69,2004-10-04,3.5211,3.5662,3.491,3.5211,19873000.0,02318,中国平安
70,2004-10-05,3.491,3.5963,3.476,3.5512,13817000.0,02318,中国平安
71,2004-10-06,3.5512,3.6415,3.5361,3.6114,26406680.0,02318,中国平安
72,2004-10-07,3.6114,3.6415,3.5813,3.6114,17669500.0,02318,中国平安
73,2004-10-08,3.5813,3.6415,3.5361,3.6114,11353000.0,02318,中国平安
74,2004-10-11,3.6114,3.6565,3.5662,3.6264,9229000.0,02318,中国平安
75,2004-10-12,3.5963,3.6264,3.5662,3.5963,3644000.0,02318,中国平安
76,2004-10-13,3.6264,3.6716,3.5963,3.6415,19329000.0,02318,中国平安
77,2004-10-14,3.5813,3.5963,3.5361,3.5963,9477538.0,02318,中国平安
78,2004-10-15,3.5512,3.822,3.5361,3.7468,25006500.0,02318,中国平安
79,2004-10-18,3.6716,3.6866,3.6264,3.6415,27773000.0,02318,中国平安
80,2004-10-19,3.6565,3.6565,3.5963,3.6114,12918500.0,02318,中国平安
81,2004-10-20,3.5813,3.5963,3.506,3.5512,15883220.0,02318,中国平安
82,2004-10-21,3.506,3.5361,3.4158,3.476,6408088.0,02318,中国平安
83,2004-10-25,3.4308,3.4609,3.4007,3.4308,6445000.0,02318,中国平安
84,2004-10-26,3.4459,3.506,3.4459,3.476,6941400.0,02318,中国平安
85,2004-10-27,3.506,3.5211,3.4609,3.476,12470000.0,02318,中国平安
86,2004-10-28,3.506,3.5361,3.4609,3.5211,11852670.0,02318,中国平安
87,2004-10-29,3.5813,3.7167,3.5662,3.6866,42449000.0,02318,中国平安
88,2004-11-01,3.6716,3.6716,3.5963,3.6264,23273600.0,02318,中国平安
89,2004-11-02,3.6264,3.6415,3.5963,3.6114,18095500.0,02318,中国平安
90,2004-11-03,3.5813,3.6264,3.5813,3.6114,12497500.0,02318,中国平安
91,2004-11-04,3.6415,3.6415,3.5963,3.5963,5299000.0,02318,中国平安
92,2004-11-05,3.6415,3.7017,3.6264,3.6565,10486000.0,02318,中国平安
93,2004-11-08,3.6716,3.7468,3.6415,3.7318,14714500.0,02318,中国平安
94,2004-11-09,3.7318,3.792,3.7318,3.792,16178500.0,02318,中国平安
95,2004-11-10,3.792,3.9123,3.792,3.8973,30188100.0,02318,中国平安
96,2004-11-11,3.8973,3.8973,3.822,3.8371,12370000.0,02318,中国平安
97,2004-11-12,3.8973,3.9725,3.8672,3.9575,24825000.0,02318,中国平安
98,2004-11-15,3.9725,4.0628,3.9274,4.0327,14055600.0,02318,中国平安
99,2004-11-16,4.0177,4.0929,4.0026,4.0177,21029500.0,02318,中国平安
100,2004-11-17,4.0026,4.0478,3.9575,3.9876,9237000.0,02318,中国平安
101,2004-11-18,3.9876,3.9876,3.9123,3.9424,10248500.0,02318,中国平安
102,2004-11-19,3.9424,3.9725,3.8973,3.9424,10649000.0,02318,中国平安
103,2004-11-22,3.8822,3.9424,3.8371,3.9123,11362000.0,02318,中国平安
104,2004-11-23,3.9123,4.0026,3.8822,3.9725,7227500.0,02318,中国平安
105,2004-11-24,3.9725,4.0779,3.9575,3.9876,13156750.0,02318,中国平安
106,2004-11-25,4.0026,4.0628,3.9424,4.0026,8428000.0,02318,中国平安
107,2004-11-26,4.0026,4.123,3.9876,4.0628,13292500.0,02318,中国平安
108,2004-11-29,4.0779,4.1681,4.0779,4.123,16488500.0,02318,中国平安
109,2004-11-30,4.1681,4.1832,4.123,4.1531,8386500.0,02318,中国平安
110,2004-12-01,4.123,4.138,4.0478,4.123,8623000.0,02318,中国平安
111,2004-12-02,4.1681,4.1832,4.123,4.123,6893400.0,02318,中国平安
112,2004-12-03,4.123,4.1681,4.0929,4.138,6289300.0,02318,中国平安
113,2004-12-06,4.1681,4.1681,4.0628,4.1079,5237332.0,02318,中国平安
114,2004-12-07,4.0929,4.138,4.0628,4.0929,6380500.0,02318,中国平安
115,2004-12-08,4.0628,4.1531,4.0327,4.0327,12586000.0,02318,中国平安
116,2004-12-09,4.0327,4.0779,4.0177,4.0327,7394500.0,02318,中国平安
117,2004-12-10,4.0026,4.0026,3.8371,3.8973,20851000.0,02318,中国平安
